time,id,value
132,85,11898
132,86,9640
132,87,7943
132,88,9326
132,89,11107
132,90,7748
132,91,8867
132,92,8403
132,93,14998
132,94,9917
132,95,10018
132,96,16974
132,97,0
132,98,0
132,99,0
132,100,0
132,101,23541
132,102,0
132,103,0
132,104,0
132,105,0
132,106,16627
132,107,0
132,108,0
132,109,0
132,110,0
132,111,17622
133,64,16601
133,65,13227
133,66,6737
133,67,7722
133,68,6708
133,69,9918
133,70,12247
133,71,10467
133,72,12450
133,73,16421
133,74,6749
133,75,6597
133,76,11974
133,77,10694
133,78,15218
133,79,9610
133,80,13132
133,81,12588
133,82,9006
133,83,11215
133,84,10002
133,85,11898
133,86,9640
133,87,7943
133,88,9326
133,89,11107
133,90,7748
133,91,8867
133,92,8403
133,93,14998
133,94,9917
133,95,10018
133,96,16974
133,97,0
133,98,0
133,99,0
133,100,0
133,101,23541
133,102,0
133,103,0
133,104,0
133,105,0
133,106,16627
133,107,0
133,108,0
133,109,0
133,110,0
133,111,17622
134,64,16601
134,65,13227
134,66,6737
134,67,7722
134,68,6708
134,69,9918
134,70,12247
134,71,10467
134,72,12450
134,73,16421
134,74,6749
134,75,6597
134,76,11974
134,77,10694
134,78,15218
134,79,9610
134,80,13132
134,81,12588
134,82,9006
134,83,11215
134,84,10002
134,85,11898
134,86,9640
134,87,7943
134,88,9326
134,89,11107
134,90,7748
134,91,8867
134,92,8403
134,93,14998
134,94,9917
134,95,10018
134,96,16974
134,97,0
134,98,0
134,99,0
134,100,0
134,101,23541
134,102,0
134,103,0
134,104,0
134,105,0
134,106,16627
134,107,0
134,108,0
134,109,0
134,110,0
134,111,17622
135,64,16601
135,65,13227
135,66,6737
135,67,7722
135,68,6708
135,69,9918
135,70,12247
135,71,10467
135,72,12450
135,73,16421
135,74,6749
135,75,6597
135,76,11974
135,77,10694
135,78,15218
135,79,9610
135,80,13132
135,81,12588
135,82,9006
135,83,11215
135,84,10002
135,85,11898
135,86,9640
135,87,7943
135,88,9326
135,89,11107
135,90,7748
135,91,8867
135,92,8403
135,93,14998
135,94,9917
135,95,10018
135,96,16974
135,97,0
135,98,0
135,99,0
135,100,0
135,101,23541
135,102,0
135,103,0
135,104,0
135,105,0
135,106,16627
135,107,0
135,108,0
135,109,0
135,110,0
135,111,17622
136,64,16601
136,65,13227
136,66,6737
136,67,7722
136,68,6708
136,69,9918
136,70,12247
136,71,10467
136,72,12450
136,73,16421
136,74,6749
136,75,6597
136,76,11974
136,77,10694
136,78,15218
136,79,9610
136,80,13132
136,81,12588
136,82,9006
136,83,11215
136,84,10002
136,85,11898
136,86,9640
136,87,7943
136,88,9326
136,89,11107
136,90,7748
136,91,8867
136,92,8403
136,93,14998
136,94,9917
136,95,10018
136,96,16974
136,97,0
136,98,0
136,99,0
136,100,0
136,101,23541
136,102,0
136,103,0
136,104,0
136,105,0
136,106,16627
136,107,0
136,108,0
136,109,0
136,110,0
136,111,17622
137,64,16601
137,65,13227
137,66,6737
137,67,7722
137,68,6708
137,69,9918
137,70,12247
137,71,10467
137,72,12450
137,73,16421
137,74,6749
137,75,6597
137,76,11974
137,77,10694
137,78,15218
137,79,9610
137,80,13132
137,81,12588
137,82,9006
137,83,11215
137,84,10002
137,85,11898
137,86,9640
137,87,7943
137,88,9326
137,89,11107
137,90,7748
137,91,8867
137,92,8403
137,93,14998
137,94,9917
137,95,10018
137,96,16974
137,97,0
137,98,0
137,99,0
137,100,0
137,101,23541
137,102,0
137,103,0
137,104,0
137,105,0
137,106,16627
137,107,0
137,108,0
137,109,0
137,110,0
137,111,17622
138,64,16601
138,65,13227
138,66,6737
138,67,7722
138,68,6708
138,69,9918
138,70,12247
138,71,10467
138,72,12450
138,73,16421
138,74,6749
138,75,6597
138,76,11974
138,77,10694
138,78,15218
138,79,9610
138,80,13132
138,81,12588
138,82,9006
138,83,11215
138,84,10002
138,85,11898
138,86,9640
138,87,7943
138,88,9326
138,89,11107
138,90,7748
138,91,8867
138,92,8403
138,93,14998
138,94,9917
138,95,10018
138,96,16974
138,97,0
138,98,0
138,99,0
138,100,0
138,101,23541
138,102,0
138,103,0
138,104,0
138,105,0
138,106,16627
138,107,0
138,108,0
138,109,0
138,110,0
138,111,17622
139,64,16601
139,65,13227
139,66,6737
139,67,7722
139,68,6708
139,69,9918
139,70,12247
139,71,10467
139,72,12450
139,73,16421
139,74,6749
139,75,6597
139,76,11974
139,77,10694
139,78,15218
139,79,9610
139,80,13132
139,81,12588
139,82,9006
139,83,11215
139,84,10002
139,85,11898
139,86,9640
139,87,7943
139,88,9326
139,89,11107
139,90,7748
139,91,8867
139,92,8403
139,93,14998
139,94,9917
139,95,10018
139,96,16974
139,97,0
139,98,0
139,99,0
139,100,0
139,101,23541
139,102,0
139,103,0
139,104,0
139,105,0
139,106,16627
139,107,0
139,108,0
139,109,0
139,110,0
139,111,17622
140,64,13147
140,65,13696
140,66,5767
140,67,6239
140,68,4347
140,69,11393
140,70,10838
140,71,8056
140,72,13966
140,73,13345
140,74,6711
140,75,5903
140,76,9719
140,77,8508
140,78,10898
140,79,7227
140,80,9204
140,81,11587
140,82,8056
140,83,10712
140,84,5588
140,85,10834
140,86,10532
140,87,7668
140,88,7697
140,89,11867
140,90,7389
140,91,8096
140,92,5975
140,93,13046
140,94,8360
140,95,9082
140,96,12419
140,97,0
140,98,0
140,99,0
140,100,0
140,101,22644
140,102,0
140,103,0
140,104,0
140,105,0
140,106,16343
140,107,0
140,108,0
140,109,0
140,110,0
140,111,16349
141,64,13147
141,65,13696
141,66,5767
141,67,6239
141,68,4347
141,69,11393
141,70,10838
141,71,8056
141,72,13966
141,73,13345
141,74,6711
141,75,5903
141,76,9719
141,77,8508
